"cell","composite","data_type","data_version","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","md5sum","orig_assembly","phase","project","replicate","sex","size","sub_id","table_name","type","view","filename","fname","url"
"BG02ES","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-11-01#,,"wgEncodeEH002250","GSM923453","Stam","UW","BG02ES-1","7d418c2b5ab2a4111b1d0f8ab09cb22b","hg19","None","wgEncode",1,,"41K",5040,"wgEncodeUwRepliSeqBg02esPkRep1","bed","Peaks","wgEncodeUwRepliSeqBg02esPkRep1.bed.gz","wgEncodeUwRepliSeqBg02esPkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqBg02esPkRep1.bed.gz"
"BJ","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,,"wgEncodeEH002236","GSM923444","Stam","UW","BJ-1","8c95b3e10d78dd671984371a8fc9ede5","hg19","None","wgEncode",1,,"41K",4863,"wgEncodeUwRepliSeqBjPkRep1","bed","Peaks","wgEncodeUwRepliSeqBjPkRep1.bed.gz","wgEncodeUwRepliSeqBjPkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqBjPkRep1.bed.gz"
"BJ","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,,"wgEncodeEH002236","GSM923444","Stam","UW","BJ-2","64ef475895e0c830c6e3852d003c05a3","hg19","None","wgEncode",2,,"38K",4864,"wgEncodeUwRepliSeqBjPkRep2","bed","Peaks","wgEncodeUwRepliSeqBjPkRep2.bed.gz","wgEncodeUwRepliSeqBjPkRep2.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqBjPkRep2.bed.gz"
"GM06990","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,,"wgEncodeEH002237","GSM923443","Stam","UW","GM06990-1","1a7ee95ed44589e28117ae7fd6a0649a","hg19","None","wgEncode",1,,"34K",4865,"wgEncodeUwRepliSeqGm06990PkRep1","bed","Peaks","wgEncodeUwRepliSeqGm06990PkRep1.bed.gz","wgEncodeUwRepliSeqGm06990PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqGm06990PkRep1.bed.gz"
"GM12801","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002238","GSM923440","Stam","UW","GM12801-1","190f4298d7575b11961e9d129f19e63d","hg19","None","wgEncode",1,,"38K",4866,"wgEncodeUwRepliSeqGm12801PkRep1","bed","Peaks","wgEncodeUwRepliSeqGm12801PkRep1.bed.gz","wgEncodeUwRepliSeqGm12801PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqGm12801PkRep1.bed.gz"
"GM12812","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002239","GSM923439","Stam","UW","GM12812-1","6e2ea781ef6e2d29d21437d0f16ec95f","hg19","None","wgEncode",1,,"38K",4867,"wgEncodeUwRepliSeqGm12812PkRep1","bed","Peaks","wgEncodeUwRepliSeqGm12812PkRep1.bed.gz","wgEncodeUwRepliSeqGm12812PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqGm12812PkRep1.bed.gz"
"GM12813","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002240","GSM923450","Stam","UW","GM12813-1","b82b038fe8fd5f6eca4f93672ab95c9f","hg19","None","wgEncode",1,,"35K",4868,"wgEncodeUwRepliSeqGm12813PkRep1","bed","Peaks","wgEncodeUwRepliSeqGm12813PkRep1.bed.gz","wgEncodeUwRepliSeqGm12813PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqGm12813PkRep1.bed.gz"
"GM12878","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002241","GSM923451","Stam","UW","GM12878-1","92645bf44f82030e5419b8d76760d2b3","hg19","None","wgEncode",1,,"36K",4828,"wgEncodeUwRepliSeqGm12878PkRep1","bed","Peaks","wgEncodeUwRepliSeqGm12878PkRep1.bed.gz","wgEncodeUwRepliSeqGm12878PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqGm12878PkRep1.bed.gz"
"HeLa-S3","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002243","GSM923449","Stam","UW","HeLa-S3-1","8329c412f956a5143cc00f6f1aca3fb7","hg19","None","wgEncode",1,,"39K",4869,"wgEncodeUwRepliSeqHelas3PkRep1","bed","Peaks","wgEncodeUwRepliSeqHelas3PkRep1.bed.gz","wgEncodeUwRepliSeqHelas3PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqHelas3PkRep1.bed.gz"
"HepG2","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002244","GSM923446","Stam","UW","HepG2-1","3dd866a7261235e6eab2015cdb357ca9","hg19","None","wgEncode",1,,"34K",4870,"wgEncodeUwRepliSeqHepg2PkRep1","bed","Peaks","wgEncodeUwRepliSeqHepg2PkRep1.bed.gz","wgEncodeUwRepliSeqHepg2PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqHepg2PkRep1.bed.gz"
"HUVEC","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002242","GSM923452","Stam","UW","HUVEC-1","4197d056e807c383d55fa505e31e0137","hg19","None","wgEncode",1,,"38K",4871,"wgEncodeUwRepliSeqHuvecPkRep1","bed","Peaks","wgEncodeUwRepliSeqHuvecPkRep1.bed.gz","wgEncodeUwRepliSeqHuvecPkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqHuvecPkRep1.bed.gz"
"IMR90","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002245","GSM923447","Stam","UW","IMR90-1","e0722a51bf4be0e4afa1175053678488","hg19","None","wgEncode",1,,"32K",4858,"wgEncodeUwRepliSeqImr90PkRep1","bed","Peaks","wgEncodeUwRepliSeqImr90PkRep1.bed.gz","wgEncodeUwRepliSeqImr90PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqImr90PkRep1.bed.gz"
"K562","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,,"wgEncodeEH002246","GSM923448","Stam","UW","K562-1","c6600a7a7dc23ef6a05fc6f7877737d2","hg19","None","wgEncode",1,,"42K",4859,"wgEncodeUwRepliSeqK562PkRep1","bed","Peaks","wgEncodeUwRepliSeqK562PkRep1.bed.gz","wgEncodeUwRepliSeqK562PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqK562PkRep1.bed.gz"
"MCF-7","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002247","GSM923442","Stam","UW","MCF-7-1","18f9001e44c998b44fad48b7afbb2808","hg19","None","wgEncode",1,,"39K",4860,"wgEncodeUwRepliSeqMcf7PkRep1","bed","Peaks","wgEncodeUwRepliSeqMcf7PkRep1.bed.gz","wgEncodeUwRepliSeqMcf7PkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqMcf7PkRep1.bed.gz"
"NHEK","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-31#,#2012-07-31#,"wgEncodeEH002249","GSM923445","Stam","UW","NHEK-1","e06a8ac59a390d9707dc909e1ee7a682","hg19","None","wgEncode",1,"F","45K",4861,"wgEncodeUwRepliSeqNhekPkRep1","bed","Peaks","wgEncodeUwRepliSeqNhekPkRep1.bed.gz","wgEncodeUwRepliSeqNhekPkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqNhekPkRep1.bed.gz"
"SK-N-SH","wgEncodeUwRepliSeq","RepliSeq","ENCODE Mar 2012 Freeze",#2011-10-27#,#2012-07-27#,"wgEncodeEH002384","GSM923441","Stam","UW","SK-N-SH_RA-1","d1b49b93fe3d1fda11af886c952243c2","hg19","None","wgEncode",1,,"39K",4862,"wgEncodeUwRepliSeqSknshPkRep1","bed","Peaks","wgEncodeUwRepliSeqSknshPkRep1.bed.gz","wgEncodeUwRepliSeqSknshPkRep1.bed","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwRepliSeq/wgEncodeUwRepliSeqSknshPkRep1.bed.gz"
